"K1 ;K2;K3;K4;K5			"
Licences;PL767;General information;4th party information;.
Licences;PL767;General information;4th party information;Publications
Licences;PL767;General information;5th party information;.
Licences;PL767;General information;5th party information;Press releases
Licences;PL767;HSEQ;.;.
Licences;PL767;HSEQ;Audits;.
Licences;PL767;HSEQ;Incidents;.
Licences;PL767;HSEQ;Plans and policies;.
Licences;PL767;HSEQ;Statistics;.
Licences;PL767;HSEQ;Studies;.
Licences;PL767;Limited;.;.
Licences;PL767;Limited;Operator - Partner only;.
Licences;PL767;Limited;Operator only;.
Licences;PL767;Meetings;.;.
Licences;PL767;Procurement;.;.
Licences;PL767;Procurement;Administration;.
Licences;PL767;Procurement;Confidential;.
Licences;PL767;Projects;.;.
Licences;PL767;Projects;Development projects;.
Licences;PL767;Projects;Other;.
Licences;PL767;Strategies and plans;.;.
Licences;PL767;Strategies and plans;Long term;.
Licences;PL767;Strategies and plans;Short term;.
Licences;PL767;Reporting;.;.
Licences;PL767;Reporting;Monthly reports;.
Licences;PL767;Reporting;HSE;.
Licences;PL767;Reporting;Projects;.
Licences;PL767;Reporting;Production;.
Licences;PL767;Reporting;Subsurface;.
Licences;PL767;Subsurface;.;.
Licences;PL767;Subsurface;Geology and geophysics;.
Licences;PL767;Subsurface;Reservoir;.
Licences;PL767;Subsurface;Seismic;.
Licences;PL767;Subsurface;Wells;.
Licences;PL767;Subsurface;Common database;.
Licences;PL1194B;.;.;.
Licences;PL1194B;Agreements;.;.
Licences;PL1194B;Agreements;Commercial;.
Licences;PL1194B;Agreements;Ownership;.
Licences;PL1194B;Authorities;.;.
Licences;PL1194B;Authorities;MPE;.
Licences;PL1194B;Authorities;NPD;.
Licences;PL1194B;Authorities;PSA;.
Licences;PL1194B;Authorities;Other authorities;.
Licences;PL1194B;Financial;.;.
Licences;PL1194B;Financial;AFE;.
Licences;PL1194B;Financial;WPB;.
Licences;PL1194B;Financial;Cash calls;.
Licences;PL1194B;Financial;Estimates;.
Licences;PL1194B;Financial;Insurance;.
Licences;PL1194B;Financial;Lease accounting;.
Licences;PL1194B;Financial;Joint interest billing;.
Licences;PL1194B;Financial;RNB;.
Licences;PL1194B;Financial;Annual status report;.
Licences;PL1194B;General information;.;.
Licences;PL1194B;General information;Miscellaneous;.
Licences;PL1194B;General information;Miscellaneous;Deleted documents
Licences;PL1194B;General information;Miscellaneous;To be deleted
Licences;PL1194B;General information;3rd party information;.
Licences;PL1194B;General information;4th party information;.
Licences;PL1194B;General information;4th party information;Publications
Licences;PL1194B;General information;5th party information;.
Licences;PL1194B;General information;5th party information;Press releases
Licences;PL1194B;HSEQ;.;.
Licences;PL1194B;HSEQ;Audits;.
Licences;PL1194B;HSEQ;Incidents;.
Licences;PL1194B;HSEQ;Plans and policies;.
Licences;PL1194B;HSEQ;Statistics;.
Licences;PL1194B;HSEQ;Studies;.
Licences;PL1194B;Limited;.;.
Licences;PL1194B;Limited;Operator - Partner only;.
Licences;PL1194B;Limited;Operator only;.
Licences;PL1194B;Meetings;.;.
Licences;PL1194B;Procurement;.;.
Licences;PL1194B;Procurement;Administration;.
Licences;PL1194B;Procurement;Confidential;.
Licences;PL1194B;Projects;.;.
Licences;PL1194B;Projects;Development projects;.
Licences;PL1194B;Projects;Other;.
Licences;PL1194B;Strategies and plans;.;.
Licences;PL1194B;Strategies and plans;Long term;.
Licences;PL1194B;Strategies and plans;Short term;.
Licences;PL1194B;Reporting;.;.
Licences;PL1194B;Reporting;Monthly reports;.
Licences;PL1194B;Reporting;HSE;.
Licences;PL1194B;Reporting;Projects;.
Licences;PL1194B;Reporting;Production;.
Licences;PL1194B;Reporting;Subsurface;.
Licences;PL1194B;Subsurface;.;.
Licences;PL1194B;Subsurface;Geology and geophysics;.
Licences;PL1194B;Subsurface;Reservoir;.
Licences;PL1194B;Subsurface;Seismic;.
Licences;PL1194B;Subsurface;Wells;.
Licences;PL1194B;Subsurface;Common database;.
