K1 ;K2;K3;K4;K5
Licences;PL1243;General information;Miscellaneous;.
Licences;PL1243;General information;Miscellaneous;Deleted documents
Licences;PL1243;General information;Miscellaneous;To be deleted
Licences;PL1243;General information;3rd party information;.
Licences;PL1243;General information;4th party information;.
Licences;PL1243;General information;4th party information;Publications
Licences;PL1243;General information;5th party information;.
Licences;PL1243;General information;5th party information;Press releases
Licences;PL1243;HSEQ;.;.
Licences;PL1243;HSEQ;Audits;.
Licences;PL1243;HSEQ;Incidents;.
Licences;PL1243;HSEQ;Plans and policies;.
Licences;PL1243;HSEQ;Statistics;.
Licences;PL1243;HSEQ;Studies;.
Licences;PL1243;Limited;.;.
Licences;PL1243;Limited;Operator - Partner only;.
Licences;PL1243;Limited;Operator only;.
Licences;PL1243;Meetings;.;.
Licences;PL1243;Procurement;.;.
Licences;PL1243;Procurement;Administration;.
Licences;PL1243;Procurement;Confidential;.
Licences;PL1243;Projects;.;.
Licences;PL1243;Projects;Development projects;.
Licences;PL1243;Projects;Other;.
Licences;PL1243;Strategies and plans;.;.
Licences;PL1243;Strategies and plans;Long term;.
Licences;PL1243;Strategies and plans;Short term;.
Licences;PL1243;Reporting;.;.
Licences;PL1243;Reporting;Monthly reports;.
Licences;PL1243;Reporting;HSE;.
Licences;PL1243;Reporting;Projects;.
Licences;PL1243;Reporting;Production;.
Licences;PL1243;Reporting;Subsurface;.
Licences;PL1243;Subsurface;.;.
Licences;PL1243;Subsurface;Geology and geophysics;.
Licences;PL1243;Subsurface;Reservoir;.
Licences;PL1243;Subsurface;Seismic;.
Licences;PL1243;Subsurface;Wells;.
Licences;PL1243;Subsurface;Common database;.
Licences;PL1381D;.;.;.
Licences;PL1381D;Agreements;.;.
Licences;PL1381D;Agreements;Commercial;.
Licences;PL1381D;Agreements;Ownership;.
Licences;PL1381D;Authorities;.;.
Licences;PL1381D;Authorities;MPE;.
Licences;PL1381D;Authorities;NPD;.
Licences;PL1381D;Authorities;PSA;.
Licences;PL1381D;Authorities;Other authorities;.
Licences;PL1381D;Financial;.;.
Licences;PL1381D;Financial;AFE;.
Licences;PL1381D;Financial;WPB;.
Licences;PL1381D;Financial;Cash calls;.
Licences;PL1381D;Financial;Estimates;.
Licences;PL1381D;Financial;Insurance;.
Licences;PL1381D;Financial;Lease accounting;.
Licences;PL1381D;Financial;Joint interest billing;.
Licences;PL1381D;Financial;RNB;.
Licences;PL1381D;Financial;Annual status report;.
Licences;PL1381D;General information;.;.
Licences;PL1381D;General information;Miscellaneous;.
Licences;PL1381D;General information;Miscellaneous;Deleted documents
Licences;PL1381D;General information;Miscellaneous;To be deleted
Licences;PL1381D;General information;3rd party information;.
Licences;PL1381D;General information;4th party information;.
Licences;PL1381D;General information;4th party information;Publications
Licences;PL1381D;General information;5th party information;.
Licences;PL1381D;General information;5th party information;Press releases
Licences;PL1381D;HSEQ;.;.
Licences;PL1381D;HSEQ;Audits;.
Licences;PL1381D;HSEQ;Incidents;.
Licences;PL1381D;HSEQ;Plans and policies;.
Licences;PL1381D;HSEQ;Statistics;.
Licences;PL1381D;HSEQ;Studies;.
Licences;PL1381D;Limited;.;.
Licences;PL1381D;Limited;Operator - Partner only;.
Licences;PL1381D;Limited;Operator only;.
Licences;PL1381D;Meetings;.;.
Licences;PL1381D;Procurement;.;.
Licences;PL1381D;Procurement;Administration;.
Licences;PL1381D;Procurement;Confidential;.
Licences;PL1381D;Projects;.;.
Licences;PL1381D;Projects;Development projects;.
Licences;PL1381D;Projects;Other;.
Licences;PL1381D;Strategies and plans;.;.
Licences;PL1381D;Strategies and plans;Long term;.
Licences;PL1381D;Strategies and plans;Short term;.
Licences;PL1381D;Reporting;.;.
Licences;PL1381D;Reporting;Monthly reports;.
Licences;PL1381D;Reporting;HSE;.
Licences;PL1381D;Reporting;Projects;.
Licences;PL1381D;Reporting;Production;.
Licences;PL1381D;Reporting;Subsurface;.
Licences;PL1381D;Subsurface;.;.
Licences;PL1381D;Subsurface;Geology and geophysics;.
Licences;PL1381D;Subsurface;Reservoir;.
Licences;PL1381D;Subsurface;Seismic;.
Licences;PL1381D;Subsurface;Wells;.
Licences;PL1381D;Subsurface;Common database;.
Licences;PL1274;.;.;.
Licences;PL1274;Agreements;.;.
Licences;PL1274;Agreements;Commercial;.
Licences;PL1274;Agreements;Ownership;.
Licences;PL1274;Authorities;.;.
Licences;PL1274;Authorities;MPE;.
Licences;PL1274;Authorities;NPD;.
Licences;PL1274;Authorities;PSA;.
Licences;PL1274;Authorities;Other authorities;.
Licences;PL1274;Financial;.;.
Licences;PL1274;Financial;AFE;.
Licences;PL1274;Financial;WPB;.
Licences;PL1274;Financial;Cash calls;.
Licences;PL1274;Financial;Estimates;.
Licences;PL1274;Financial;Insurance;.
Licences;PL1274;Financial;Lease accounting;.
Licences;PL1274;Financial;Joint interest billing;.
Licences;PL1274;Financial;RNB;.
Licences;PL1274;Financial;Annual status report;.
Licences;PL1274;General information;.;.
Licences;PL1274;General information;Miscellaneous;.
Licences;PL1274;General information;Miscellaneous;Deleted documents
Licences;PL1274;General information;Miscellaneous;To be deleted
Licences;PL1274;General information;3rd party information;.
Licences;PL1274;General information;4th party information;.
Licences;PL1274;General information;4th party information;Publications
Licences;PL1274;General information;5th party information;.
Licences;PL1274;General information;5th party information;Press releases
Licences;PL1274;HSEQ;.;.
Licences;PL1274;HSEQ;Audits;.
Licences;PL1274;HSEQ;Incidents;.
Licences;PL1274;HSEQ;Plans and policies;.
Licences;PL1274;HSEQ;Statistics;.
Licences;PL1274;HSEQ;Studies;.
Licences;PL1274;Limited;.;.
Licences;PL1274;Limited;Operator - Partner only;.
Licences;PL1274;Limited;Operator only;.
Licences;PL1274;Meetings;.;.
Licences;PL1274;Procurement;.;.
Licences;PL1274;Procurement;Administration;.
Licences;PL1274;Procurement;Confidential;.
Licences;PL1274;Projects;.;.
Licences;PL1274;Projects;Development projects;.
Licences;PL1274;Projects;Other;.
Licences;PL1274;Strategies and plans;.;.
Licences;PL1274;Strategies and plans;Long term;.
Licences;PL1274;Strategies and plans;Short term;.
Licences;PL1274;Reporting;.;.
Licences;PL1274;Reporting;Monthly reports;.
Licences;PL1274;Reporting;HSE;.
Licences;PL1274;Reporting;Projects;.
Licences;PL1274;Reporting;Production;.
Licences;PL1274;Reporting;Subsurface;.
Licences;PL1274;Subsurface;.;.
Licences;PL1274;Subsurface;Geology and geophysics;.
Licences;PL1274;Subsurface;Reservoir;.
Licences;PL1274;Subsurface;Seismic;.
Licences;PL1274;Subsurface;Wells;.
Licences;PL1274;Subsurface;Common database;.
Licences;PL1276;.;.;.
Licences;PL1276;Agreements;.;.
Licences;PL1276;Agreements;Commercial;.
Licences;PL1276;Agreements;Ownership;.
Licences;PL1276;Authorities;.;.
Licences;PL1276;Authorities;MPE;.
Licences;PL1276;Authorities;NPD;.
Licences;PL1276;Authorities;PSA;.
Licences;PL1276;Authorities;Other authorities;.
Licences;PL1276;Financial;.;.
Licences;PL1276;Financial;AFE;.
Licences;PL1276;Financial;WPB;.
Licences;PL1276;Financial;Cash calls;.
Licences;PL1276;Financial;Estimates;.
Licences;PL1276;Financial;Insurance;.
Licences;PL1276;Financial;Lease accounting;.
Licences;PL1276;Financial;Joint interest billing;.
Licences;PL1276;Financial;RNB;.
Licences;PL1276;Financial;Annual status report;.
Licences;PL1276;General information;.;.
Licences;PL1276;General information;Miscellaneous;.
Licences;PL1276;General information;Miscellaneous;Deleted documents
Licences;PL1276;General information;Miscellaneous;To be deleted
Licences;PL1276;General information;3rd party information;.
Licences;PL1276;General information;4th party information;.
Licences;PL1276;General information;4th party information;Publications
Licences;PL1276;General information;5th party information;.
Licences;PL1276;General information;5th party information;Press releases
Licences;PL1276;HSEQ;.;.
Licences;PL1276;HSEQ;Audits;.
Licences;PL1276;HSEQ;Incidents;.
Licences;PL1276;HSEQ;Plans and policies;.
Licences;PL1276;HSEQ;Statistics;.
Licences;PL1276;HSEQ;Studies;.
Licences;PL1276;Limited;.;.
Licences;PL1276;Limited;Operator - Partner only;.
Licences;PL1276;Limited;Operator only;.
Licences;PL1276;Meetings;.;.
Licences;PL1276;Procurement;.;.
Licences;PL1276;Procurement;Administration;.
Licences;PL1276;Procurement;Confidential;.
Licences;PL1276;Projects;.;.
Licences;PL1276;Projects;Development projects;.
Licences;PL1276;Projects;Other;.
Licences;PL1276;Strategies and plans;.;.
Licences;PL1276;Strategies and plans;Long term;.
Licences;PL1276;Strategies and plans;Short term;.
Licences;PL1276;Reporting;.;.
Licences;PL1276;Reporting;Monthly reports;.
Licences;PL1276;Reporting;HSE;.
Licences;PL1276;Reporting;Projects;.
Licences;PL1276;Reporting;Production;.
Licences;PL1276;Reporting;Subsurface;.
Licences;PL1276;Subsurface;.;.
Licences;PL1276;Subsurface;Geology and geophysics;.
Licences;PL1276;Subsurface;Reservoir;.
Licences;PL1276;Subsurface;Seismic;.
Licences;PL1276;Subsurface;Wells;.
Licences;PL1276;Subsurface;Common database;.
